iter	Passed	Remaining
482	646	691
483	648	691
484	649	689
485	650	688
486	651	686
487	653	685
488	654	683
489	655	682
490	656	680
491	657	679
492	659	678
493	660	676
494	661	675
495	662	673
496	663	671
497	664	670
498	665	668
499	666	666
500	667	664
501	668	663
502	669	661
503	670	660
504	672	658
505	673	657
506	673	655
507	674	653
508	675	651
509	676	650
510	678	649
511	679	647
512	681	646
513	682	645
514	683	643
515	684	642
516	685	640
517	686	639
518	687	637
519	689	636
520	690	634
521	691	633
522	692	631
523	693	629
524	694	628
525	695	627
526	697	625
527	699	625
528	700	623
529	702	622
530	703	621
531	704	619
532	706	618
533	707	617
534	708	615
535	709	614
536	711	613
537	712	612
538	714	610
539	715	609
540	716	607
541	717	606
542	718	604
543	719	603
544	721	601
545	722	600
546	723	599
547	724	597
548	726	596
549	727	595
550	728	593
551	729	592
552	730	590
553	732	589
554	733	588
555	734	586
556	735	585
557	737	583
558	738	582
559	739	580
560	740	579
561	740	577
562	741	575
563	742	574
564	744	573
565	745	571
566	746	570
567	747	568
568	748	567
569	749	565
570	751	564
571	752	563
572	753	561
573	754	560
574	755	558
575	756	556
576	757	555
577	759	554
578	760	553
579	761	551
580	762	549
581	762	547
582	763	546
583	764	544
584	765	542
585	766	541
586	767	539
587	768	538
588	768	536
589	769	534
590	770	533
591	771	531
592	772	530
593	774	529
594	775	527
595	776	526
596	776	524
597	777	522
598	778	521
599	779	519
600	779	517
601	781	516
602	781	514
603	782	513
604	783	511
605	784	510
606	785	508
607	785	506
608	786	505
609	787	503
610	788	502
611	789	500
612	790	499
613	791	497
614	792	496
615	793	494
616	793	492
617	794	491
618	795	489
619	796	488
620	797	486
621	798	485
622	799	483
623	800	482
624	801	480
625	802	479
626	804	478
627	805	477
628	806	475
629	807	474
630	808	472
631	809	471
632	810	469
633	811	468
634	812	467
635	813	465
636	814	464
637	815	462
638	816	461
639	817	459
640	818	458
641	819	456
642	820	455
643	821	453
644	822	452
645	823	451
646	824	449
647	824	448
648	825	446
649	826	445
650	827	443
651	829	442
652	830	441
653	831	439
654	832	438
655	833	436
656	834	435
657	835	434
658	836	432
659	836	431
660	837	429
661	838	428
662	839	426
663	840	425
664	841	423
665	842	422
666	843	420
667	844	419
668	845	418
669	845	416
670	846	415
671	847	413
672	848	412
673	849	410
674	850	409
675	850	407
676	851	406
677	852	404
678	853	403
679	853	401
680	854	400
681	856	399
682	856	397
683	858	396
684	859	395
685	860	393
686	861	392
687	862	391
688	863	389
689	864	388
690	865	387
691	866	385
692	867	384
693	868	382
694	869	381
695	870	380
696	871	378
697	872	377
698	873	375
699	873	374
700	874	373
701	875	371
702	875	370
703	876	368
704	877	367
705	878	365
706	879	364
707	880	363
708	881	361
709	882	360
710	883	359
711	884	357
712	885	356
713	886	355
714	887	353
715	887	352
716	888	350
717	889	349
718	890	347
719	891	346
720	892	345
721	893	344
722	894	342
723	895	341
724	895	339
725	896	338
726	897	337
727	898	335
728	899	334
729	900	333
730	901	331
731	902	330
732	903	329
733	904	327
734	904	326
735	905	324
736	906	323
737	907	322
738	907	320
739	908	319
740	909	317
741	910	316
742	911	315
743	911	313
744	912	312
745	913	311
746	914	309
747	915	308
748	916	307
749	917	305
750	918	304
751	918	303
752	919	301
753	920	300
754	921	298
755	922	297
756	923	296
757	923	294
758	924	293
759	925	292
760	926	290
761	927	289
762	927	288
763	928	286
764	929	285
765	930	284
766	931	282
767	932	281
768	933	280
769	934	279
770	935	277
771	936	276
772	938	275
773	939	274
774	940	272
775	941	271
776	942	270
777	943	269
778	944	267
779	945	266
780	946	265
781	946	263
782	947	262
783	948	261
784	949	260
785	950	258
786	951	257
787	952	256
788	953	254
789	954	253
790	955	252
791	956	251
792	957	249
793	958	248
794	959	247
795	960	246
796	961	244
797	962	243
798	963	242
799	964	241
800	965	239
801	965	238
802	966	237
803	967	235
804	968	234
805	969	233
806	970	232
807	971	230
808	971	229
809	972	228
810	973	226
811	974	225
812	975	224
813	975	223
814	976	221
815	977	220
816	978	219
817	979	217
818	980	216
819	981	215
820	982	214
821	983	212
822	984	211
823	985	210
824	986	209
825	987	207
826	988	206
827	988	205
828	989	204
829	990	202
830	991	201
831	992	200
832	993	199
833	994	198
834	995	196
835	996	195
836	997	194
837	998	193
838	999	191
839	1000	190
840	1001	189
841	1002	188
842	1003	186
843	1005	185
844	1006	184
845	1007	183
846	1008	182
847	1009	180
848	1010	179
849	1011	178
850	1012	177
851	1014	176
852	1015	174
853	1015	173
854	1016	172
855	1017	171
856	1018	169
857	1019	168
858	1020	167
859	1021	166
860	1022	165
861	1023	163
862	1024	162
863	1025	161
864	1026	160
865	1027	158
866	1028	157
867	1029	156
868	1030	155
869	1030	154
870	1031	152
871	1032	151
872	1033	150
873	1033	149
874	1034	147
875	1035	146
876	1036	145
877	1037	144
878	1038	142
879	1039	141
880	1039	140
881	1041	139
882	1041	138
883	1042	136
884	1043	135
885	1044	134
886	1044	133
887	1045	131
888	1046	130
889	1047	129
890	1047	128
891	1048	126
892	1049	125
893	1050	124
894	1051	123
895	1051	122
896	1053	120
897	1054	119
898	1056	118
899	1057	117
900	1059	116
901	1061	115
902	1061	114
903	1062	112
904	1063	111
905	1064	110
906	1066	109
907	1067	108
908	1068	106
909	1069	105
910	1070	104
911	1071	103
912	1072	102
913	1074	101
914	1074	99
915	1075	98
916	1076	97
917	1076	96
918	1077	94
919	1078	93
920	1079	92
921	1080	91
922	1081	90
923	1081	88
924	1082	87
925	1083	86
926	1084	85
927	1085	84
928	1086	83
929	1087	81
930	1088	80
931	1089	79
932	1090	78
933	1091	77
934	1092	75
935	1093	74
936	1094	73
937	1096	72
938	1097	71
939	1098	70
940	1099	68
941	1100	67
942	1101	66
943	1102	65
944	1103	64
945	1105	63
946	1106	61
947	1106	60
948	1107	59
949	1109	58
950	1110	57
951	1112	56
952	1112	54
953	1113	53
954	1114	52
955	1115	51
956	1117	50
957	1118	49
958	1119	47
959	1120	46
960	1121	45
961	1123	44
962	1124	43
963	1125	42
964	1126	40
965	1127	39
966	1128	38
967	1130	37
968	1131	36
969	1132	35
970	1133	33
971	1135	32
972	1136	31
973	1136	30
974	1138	29
975	1139	28
976	1141	26
977	1142	25
978	1143	24
979	1145	23
980	1146	22
981	1148	21
982	1149	19
983	1151	18
984	1152	17
985	1154	16
986	1155	15
987	1157	14
988	1159	12
989	1161	11
990	1163	10
991	1164	9
992	1165	8
993	1167	7
994	1168	5
995	1170	4
996	1172	3
997	1173	2
998	1175	1
999	1176	0
